high,low,open,close,volume,macd_26,macd_9,macd_diff,adx,adx_neg,adx_pos,span_a,span_b,kijun,tenkan,rsi,cmf,sma,date,label
7544.49707,7400.535645,7410.45166,7411.317383,19725074095,-45.01077385,-72.12843182,27.11765797,13.65345978,20.49521818,20.65911311,7589.616211,8319.455566,7098.112793,7214.472168,52.67202286,-0.047400589,7273.167914,1/5/2020,UP
7781.867188,7409.292969,7410.452148,7769.219238,23276261598,-30.33554976,-63.76985541,33.43430564,13.30207179,19.59003689,23.33951606,7565.598633,8319.455566,7098.112793,7229.746582,52.69059486,-0.109752491,7286.637804,1/6/2020,UP
8178.21582,7768.227539,7768.682129,8163.692383,28767291327,10.05841256,-49.00420181,59.06261437,13.98272576,17.44292938,27.7642931,7564.827637,8319.455566,7160.958252,7348.431641,61.50389113,-0.030794101,7336.77436,1/7/2020,UP
8396.738281,7956.774414,8161.935547,8079.862793,31672559265,73.05942121,-24.59147721,97.65089842,15.8129534,15.43778009,35.68570158,7563.282227,8319.455566,7359.132568,7546.605957,68.47476718,0.057711941,7419.112088,1/8/2020,DOWN
8082.295898,7842.403809,8082.295898,7879.071289,24045990466,114.8993391,3.306686052,111.592653,18.00558199,13.62739712,37.32543291,7544.655029,8319.455566,7468.393799,7655.867188,65.74999116,-0.028411849,7506.541829,1/9/2020,DOWN
8166.554199,7726.774902,7878.307617,8166.554199,28714583844,130.3529515,28.71593914,101.6370124,19.40813294,15.82093778,34.92077616,7439.374756,8319.455566,7468.393799,7655.867188,59.62940017,-0.06609681,7582.705404,1/10/2020,UP
8218.359375,8029.64209,8162.190918,8037.537598,25521165085,163.9080885,55.75436901,108.1537195,20.10261798,17.00252462,30.98039104,7353.347412,8319.455566,7468.393799,7655.867188,64.69657495,-0.031864216,7690.080946,1/11/2020,DOWN
8200.063477,8009.059082,8033.261719,8192.494141,22903438381,178.0379047,80.21107615,97.82682853,20.89413723,16.15986147,30.80548102,7316.38855,8319.455566,7468.393799,7655.867188,60.99639296,-0.094875642,7806.977322,1/12/2020,UP
8197.788086,8079.700684,8189.771973,8144.194336,22482910688,199.4405572,104.0569724,95.38358484,21.5143972,15.88393965,29.22664884,7157.535522,8196.546143,7468.393799,7853.126221,63.68298052,-0.097330483,7901.156196,1/13/2020,DOWN
8879.511719,8140.933105,8140.933105,8827.764648,44841784107,210.0832144,125.2622208,84.82099364,22.09035289,15.35981002,28.26224372,7085.055908,8172.58374,7655.867188,7898.636963,62.24380909,-0.047593352,7982.660373,1/14/2020,UP
8890.117188,8657.1875,8825.34375,8807.010742,40102834650,270.5571934,154.3212153,116.2359781,24.23412108,12.56674456,39.90740952,7065.700806,8028.11499,7897.253906,8144.402344,71.91675795,0.056595941,8140.043403,1/15/2020,DOWN
8846.460938,8612.095703,8812.481445,8723.786133,31313981931,313.1982364,186.0966195,127.1016168,26.24299882,11.83576631,37.85093041,7065.700806,8022.550537,7902.556641,8308.446045,71.31933849,0.084498266,8255.35357,1/16/2020,DOWN
8958.12207,8677.316406,8725.209961,8929.038086,36372139320,336.39825,216.1569456,120.2413044,27.8491076,12.27477001,35.60670498,7065.700806,8022.550537,7902.556641,8308.446045,68.84940063,0.105320326,8317.586209,1/17/2020,UP
9012.198242,8827.332031,8927.211914,8942.808594,32337772627,367.1146758,246.3484917,120.7661842,29.55927642,11.40243205,35.90219349,7108.558472,8022.550537,7936.559082,8342.448486,71.47331824,0.14850045,8411.939019,1/18/2020,UP
9164.362305,8620.080078,8941.445313,8706.245117,34217320471,388.0951106,274.6978154,113.3972952,31.25133592,10.85547096,35.58316848,7143.094238,8022.550537,7963.597168,8369.486572,71.64588108,0.176760705,8530.132053,1/19/2020,DOWN
8745.59082,8560.473633,8704.631836,8657.642578,26422375678,381.2388763,296.0060276,85.23284872,31.6087782,14.44925129,30.88566419,7143.094238,8022.550537,8039.679199,8586.710693,64.43482159,0.124003887,8590.097711,1/20/2020,DOWN
8755.706055,8544.520508,8658.991211,8745.894531,24097418512,367.6454546,310.333913,57.31154161,31.61753837,15.26794535,29.46111009,7143.094238,8022.550537,8039.679199,8586.710693,63.03117049,0.157590575,8658.998264,1/21/2020,UP
